#Constant Temperature fit results; RIPL III discrete level library; December 2021 
#  Z   A El         T        dT        U0       dU0NlevNmax  N0  Nc     Umax       Uc     Chi Fit Flag NoX  Xm  EX   sigma
#               [MeV]     [MeV]     [MeV]     [MeV]                    [MeV]    [MeV]                         [MeV]     
#-------------------------------------------------------------------------------------------------------------------------
   8  20 O    2.47973   0.38369  -0.10197   0.83596  21  11   7   6  5.61400  4.85000  4.058E-02       0             1.917
   8  21 O    2.32886   0.35513   0.00000   1.00000  12   1   1   1  0.00000  0.00000                  0             0.000
   8  22 O    2.20155   0.33155   0.00000   1.00000  11   1   1   2  0.00000  3.19900                  0             0.000
   8  23 O    2.09460   0.30911   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
   8  24 O    2.00439   0.28675   0.00000   1.00000   5   1   1   2  0.00000  4.79000                  0             0.000
   8  25 O    1.92782   0.26476   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   8  26 O    1.86239   0.24402   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
   8  27 O    1.80602   0.22575   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   8  28 O    1.75694   0.21125   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   9  13 F    4.69032   1.69098   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   9  14 F    4.18226   1.25855   0.00000   1.00000   4   1   1   4  0.00000  2.79000                  0             0.000
   9  15 F    3.76175   0.94919   0.00000   1.00000   5   1   1   3  0.00000  3.48000                  0             0.000
   9  16 F    3.41096   0.73188  -3.23234   1.91975  28  24   7   8  7.50000  4.65400  5.917E-02   F   0             1.876
   9  17 F    3.11648   0.58371  -2.06834   1.93810  77  37  20   9  9.45000  5.67200  2.987E-03 *     0             1.787
   9  18 F    2.86808   0.48633  -4.08099   1.80361  99  76  18  30  8.23800  6.09640  3.649E-03 *     0             2.097
   9  19 F    2.65787   0.42406  -2.63160   1.49546 191  63  15  47  8.37000  7.56000  3.669E-03 *     0             2.405
   9  20 F    2.47973   0.38369  -4.20288   1.47834 153 107  14   8  7.37000  1.84380  5.825E-03 *     0             1.794
   9  21 F    2.32886   0.35513  -2.06760   0.93312  37  26   7   4  5.59200  1.73040  1.036E-02 *     0             1.753
   9  22 F    2.20155   0.33155  -2.55441   0.76739  26  15   7   1  3.37640  0.00000  3.844E-02       0             2.230
   9  23 F    2.09460   0.30911   0.00000   1.00000  19   1   1   1  0.00000  0.00000                  0             0.000
   9  24 F    2.00439   0.28675   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
   9  25 F    1.92782   0.26476   0.00000   1.00000   5   1   1   1  0.00000  0.00000                  0             0.000
   9  26 F    1.86239   0.24402   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
   9  27 F    1.80602   0.22575   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
   9  28 F    1.75694   0.21125   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
   9  29 F    1.71363   0.20166   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   9  30 F    1.67470   0.19741   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   9  31 F    1.63890   0.19795   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  10  15 Ne   3.76175   0.94919   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  10  16 Ne   3.41096   0.73188   0.00000   1.00000   5   1   1   3  0.00000  6.19000                  0             0.000
  10  17 Ne   3.11648   0.58371   0.00000   1.00000  16   1   1   1  0.00000  0.00000                  0             0.000
  10  18 Ne   2.86808   0.48633  -1.29103   1.05728  22  11   7   8  5.45300  4.59000  2.892E-02       0             1.754
  10  19 Ne   2.65787   0.42406  -2.24435   1.13757  69  27   7   8  6.43700  4.03290  1.078E-02 *     0             2.308
  10  20 Ne   2.47973   0.38369   1.68335   1.19802 233  49   7   6 11.32000  5.78770  3.877E-03 *     0             2.354
  10  21 Ne   2.32886   0.35513  -1.48102   1.30314 153 104   7  13  9.29900  4.72535  3.552E-03 *     0             2.361
  10  22 Ne   2.20155   0.33155   0.59214   0.98316 145  39   7   7  8.59600  5.36340  5.595E-03 *     0             2.169
  10  23 Ne   2.09460   0.30911  -1.52260   1.00010  43  41  14   2  6.09300  1.01693  7.253E-03 *     0             1.634
  10  24 Ne   2.00439   0.28675   1.55560   0.75467  39  24   7   5  8.15000  4.76650  7.011E-03 *     0             2.511
